3717.5 4230.0000000000000 5072.5000000000000 7505 8520.0000000000000
10325 11202.5 12827.5 15427.5 14982.500000000000
17002.5 20475.000000000000 18845 21175 25552.500000000000
22652.5 25305 30475 26390 29665
35392.500000000000 30065 33870 40300.000000000000 33865
38195 45250 37537.5 42335 50225
41367.5 46710 55132.5 45090 51175
60150 48820.000000000000 55427.5 65065 52472.5
59705.000000000000 70195.000000000000 56142.5 63842.5 75277.500000000000
60030 68025 80250 63765 72267.5
85247.5 67487.5 76555.000000000000 90287.50000000000 71367.500000000000
80732.5 95295 74995 84975.000000000000 100097.5
78790.000000000000 89215 105090 82527.5 93402.50000000000
109990 86280 97770 115075 90050.000000000000
102010 119987.5 93885 106242.50000000000 124992.50000000000
97875 110522.5 130035 101680 114640
135007.50000000000 105380 118965 139932.5 109057.5
123335 144832.5 112902.5 127635.00000000000 149772.50000000000
116595 131900 NA 120387.5 136477.50000000000
NA 124182.5 140860.00000000000 NA 128005
145135 NA 131530.00000000000 149602.50000000000 NA
