487.5 910 5145 512.5 765
5027.5 480.00000000000006 865 5235 510.00000000000006
892.5 5072.5000000000000 540 900.00000000000011 5252.5
520.00000000000011 840 5102.5 495 840
5047.5 530 820.00000000000011 5077.5 490
925.0000000000001 4922.5000000000009 560 855 4917.5000000000000
512.5 910 4907.5000000000000 527.5 825
4950 490 930 4975 492.50000000000006
972.5000000000001 4907.5000000000000 465 875.00000000000011 5017.5
470 887.50000000000011 4915 550 822.5
5130.0000000000009 492.50000000000006 845.00000000000011 5082.5000000000000 490
870.00000000000011 4972.5000000000009 547.5 812.5 4997.5000000000009
455 842.5 5040 515 872.5
5007.5 495 945 4802.5000000000009 515
895 4992.5 517.5 845.00000000000011 4900
530 927.5 5085 507.5 870.00000000000011
4912.5 535.00000000000011 787.5 5005 425.00000000000006
870.00000000000011 5042.5000000000000 555 952.5 4972.5000000000009
552.5 840 NA 535.00000000000011 872.5
NA 477.5 960.0000000000001 NA 515
925.0000000000001 NA 515 850.00000000000011 NA
