0.1985 0.1492 0.1582 0.20180000000000001 0.1515
0.1525 0.19760000000000000 0.15220000000000000 0.15870000000000001 0.20130000000000001
0.1472 0.1535 0.2052 0.14710000000000001 0.1517
0.20270000000000002 0.1455 0.15270000000000000 0.1994 0.15410000000000001
0.1473 0.1966 0.1483 0.1472 0.2023
0.1529 0.1468 0.1964 0.1459 0.1482
0.2036 0.15470000000000000 0.1491 0.19870000000000002 0.158
0.1468 0.1991 0.15010000000000001 0.15060000000000001 0.1956
0.15110000000000001 0.14700000000000002 0.1963 0.1458 0.1545
0.2064 0.1475 0.15280000000000002 0.1993 0.1497
0.1491 0.19880000000000000 0.1514 0.14990000000000001 0.206
0.1473 0.1514 0.1944 0.1498 0.1503
0.202 0.15579999999999999 0.1432 0.1994 0.1517
0.1498 0.20020000000000002 0.1476 0.1493 0.20090000000000002
0.1544 0.1459 0.2039 0.14960000000000001 0.14700000000000002
0.211 0.1493 0.1502 0.20250000000000001 0.15110000000000001
0.1515 0.1977 0.14500000000000002 0.1491 0.19670000000000001
0.15280000000000002 0.1474 0.2044 0.1545 0.14650000000000002
0.1973 0.1519 NA 0.202 0.1505
NA 0.20210000000000000 0.1623 NA 0.20330000000000001
0.155 NA 0.18960000000000002 0.1509 NA
